,company,date,review,note
0,"
                        SQUIRREL
                    ",too far,"
                Dans le cadre d'un stage, ma collaboration avec l'équipe SQUIRREL s'est révélée être une très bonne expérience. L'équipe était très accueillante et professionnelle. Grâce à eux, j'ai appris beaucoup de choses sur l'univers du digital. Des bases qui me seront très utiles pour ma future vie professionnelle. Merci encore :)
            ",5
1,"
                        SQUIRREL
                    ",too far,"
                Gratitude et Respect pour votre investissement. Équipe professionnelle, compétente, compréhensive et Humble.Le combo est perfect. Vous assurez sincèrement : Mise en production réalisée dans un contexte et des délais records.Je recommande.Big Up. Merci pour tout et encore bien joué !
            ",5
2,"
                        SQUIRREL
                    ",too far,"
                Une équipe efficace et disponible à toute heure dans les moments critiques !  bravo et merci
            ",5
3,"
                        SQUIRREL
                    ",too far,"
                Après une expérience très décevante avec 2 premières agences de développement qui n’ont pas réussi à finaliser mon projet, j’ai eu la chance que l’on me recommande l’agence de développement d’application mobile SQUIRREL, qui a repris mon projet en mains de manière très efficace pour aboutir l’application Boomerang d’échange de services dans un temps record, seulement 3 mois.J’ai enfin l’application mobile que je souhaitais.J’en suis très reconnaissant !Je recommande à mon tour l’agence SQUIRREL.Eric DRILLIEN Fondateur de l’application Boomerang
            ",5
4,"
                        SQUIRREL
                    ",too far,"
                Les meilleurs développeurs qui soient! Leurs mails sont incroyables, leurs talents pour créer votre application encore plus ! Vous attendez quoi. C’est les meilleurs! 😍 Il vous réaliserons une application à votre image, ils seront patients et cela dans un temps-record! 🙏🙏🙏 Merci encore pour tout!
            ",5
5,"
                        SQUIRREL
                    ",too far,"
                Une agence experte dans le développement mobile , très réactive et qui nous a permis de sortir des applications de qualité.
            ",5
6,"
                        SQUIRREL
                    ",too far,"
                J ai eu l occasion de travailler avec Squirrel pour mon application EasyWin qui tourne parfaitement.L'équipe est au top et savent tres rapidement reagir en cas de probleme. C'est une de leur force majeur.L'equipe se complète parfaitement bien et est efficace.
            ",5
7,"
                        SQUIRREL
                    ",too far,"
                On nous a vivement recommandé Squirrel. Un devis gratuit nous a été effectué rapidement et c'était dans nos frais. Une équipe jeune et motivé ! Un délai nous a été annoncé pour notre projet et celui-ci a été respecté. Nous avons eu notre petite application disponible rapidement. On recommande
            ",5
8,"
                        SQUIRREL
                    ",too far,"
                Je recommande Squirrel! Équipe formidable et efficace qui nous accompagne jusqu'au bout de nos projets, avec un suivi personnalisé... Bravo pour votre excellent travail
            ",5
9,"
                        SQUIRREL
                    ",too far,"
                Des echanges efficaces et rapides !Ils prennent le temps de nous expliquer le cote technique sans pour autant etre perdu dans des mots incomprehensibles.Le cahier des charges et les délais ont été respectés. Je recommande vivement!
            ",5
10,"
                        SQUIRREL
                    ",too far,"
                Équipe dynamique et efficace, à l'écoute pour réaliser notre projet. Très compétent techniquement. Un plaisir de travailler avec vous.
            ",5
11,"
                        SQUIRREL
                    ",too far,"
                L'équipe Squirrel a su nous conseiller et nous guider pour le développement de notre application mobile Benatna. Leur réactivité nous a agréablement supris ce qui a permis de mener à bien notre projet !
            ",5
12,"
                        SQUIRREL
                    ",too far,"
                Nous travaillons avec l'équipe Squirrel depuis 2017 sur 2 projets d'applications mobiles. C'est un plaisir de travailler au quotidien avec une équipe qui est très à l'écoute et réactive.Un grand merci pour ces deux collaborations :)
            ",5
13,"
                        SQUIRREL
                    ",too far,"
                Une équipe agréable, dynamique et compétente !Nous avons réalisé le développement d'une application en collaboration avec Squirrel sur plusieurs mois.Le cahier des charges et les délais ont été respectés. Le travail a été facilité par la réactivité de l'équipe Squirrel qui a su très vite comprendre nos attentes et proposer une solution technique adéquate.Le résultat est conforme à ce que nous espérions et va grandement nous faciliter la vie.Je recommande vivement !
            ",5
14,"
                        SQUIRREL
                    ",too far,"
                Excellente réactivité et bons échanges dans le cadre d'une mise à jour d'application Android?
            ",5
15,"
                        SQUIRREL
                    ",too far,"
                Super entreprise avec qui nous avons eu l'occasion de travailler.
            ",5
16,"
                        SQUIRREL
                    ",too far,"
                Le développement de notre application e-santé c'est très bien déroulé, notamment, par la bonne prise en compte des contraintes du projet (cloisonnement de l'information administrative et médicale, une interface affordante pour les soignants et les soignés).- Des solutions et des astuces pour simplifier l'interface.- Des délais de livraison respectés.
            ",5
17,"
                        SQUIRREL
                    ",too far,"
                Je recommande Squirrel pour son professionnalisme, la réactivité de son équipe et son sérieux.
            ",5
18,"
                        SQUIRREL
                    ",too far,"
                Très bonne première expérience avec Squirrel.L'équipe est réactive et à l'écoute de nos besoins. C'est un plaisir de travailler avec eux.
            ",5
19,"
                        SQUIRREL
                    ",too far,"
                Nous travaillons avec Squirrel depuis plusieurs mois. Nous leur avons confié le coeur de notre métier ... et nous ne sommes pas déçus. Réactivité, force de proposition, conseil, honnêteté, et talentueux, une équipe authentique que je recommande.
            ",5
